First Name,Last Name,Age,Rank,Classification,Date of Incident,Date of Death,Cause Of Death,Nature Of Death,Duty,Activity,Emergency,Property Type,
Thomas,Kelly,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Kelly,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Richard,Kelly Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Kennedy,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Ronald,Kerwin,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Kiefer,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,King Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Scott,Kopytko,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,Krukowski,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kenneth,Kumpel,,Fire Marshal,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Kuveikis,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,Laforge,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,Lake,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Lane,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Langone,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Scott,Larsen,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Leavey,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Neil,Leavy,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Daniel,Libretti,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Linnane,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Lynch,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Patrick,Lyons,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Lyons,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Maffeo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,Mahoney,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Maloney,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Marchbanks Jr.,47,Deputy Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Charles,Margiotta,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kenneth,Marino,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Marshall,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Martin,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Martini,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Mascali,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Keithroy,Maynard,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Brian,McAleese,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,McAvoy,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,McCann,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,McGinn,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,McGovern,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,McHugh,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,McPadden,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Terence,McShane,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Timothy,McSweeney,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Martin,McWilliams,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,McMahon,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Raymond,Meisenheimer,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Charles,Mendez,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Steve,Mercado,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Douglas,Miller,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Henry,Miller Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Minara,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Mingione,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Mitchell,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Louis,Modafferi,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,Mojica,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Manuel,Mojica,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Carl,Molinaro,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Montesi,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Moody,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Moran,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vincent,Morello,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Christopher,Mozzillo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Richard,Muldowney Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Mullan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,Mulligan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Raymond,Murphy,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Nagel,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Napolitano,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Nelson,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerard,Nevins,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Daniel,O'Callaghan,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
William,O'Keefe,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Patrick,O'Keefe,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,O'Rourke,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,O'Berg,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Douglas,Oelschlager,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Ogren,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,O'Hagan,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Samuel,Oitice,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Eric,Olsen,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Jeffrey,Olsen,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Steven,Olson,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Otten,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Jeffrey,Palazzo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Orio,Palmer,,Deputy Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Frank,Palombo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Pansini,,Fire Marshal,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Paolillo,,Deputy Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Pappageorge,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Parro,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Durrell ,Pearsall,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Glenn,Perry,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Philip,Petti,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Pfeifer,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kenneth,Phelan,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Christopher,Pickford,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Shawn,Powell,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vincent,Princiotta,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Prior,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Richard,Prunty,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Lincoln,Quappe,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Quilty,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Leonard,Ragaglia,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Ragusa,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Edward,Rall,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Adam,Rand,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Donald,Regan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Regan,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Christian,Regenhard,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Reilly,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Vernon,Richard,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
James,Riches,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,Rivelli Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Roberts,30,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Roberts,31,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Anthony,Rodriguez,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Matthew,Rogan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Nicholas,Rossomando,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Ruback,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Stephen,Russell,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Russo,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Matthew,Ryan,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Sabella,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Christopher,Santora,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Santore,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gregory,Saucedo,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Dennis,Scauso,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Schardt,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Fred,Scheffold,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Thomas,Schoales,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gerard,Schrang,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gregory,Sikorsky,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Stephen,Siller,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Stanley,Smagala Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kevin,Smith,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Leon,Smith Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Spear Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Joseph,"Spor, Jr.",,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Lawrence,Stack,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Timothy,Stackpole,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Gregory,Stajk,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Jeffrey,Stark,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Benjamin,Suarez,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Daniel,Suhr,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Christopher,Sullivan,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Brian,Sweeney,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Sean,Tallon,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Allan,Tarasiewicz,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Paul,Tegtmeier,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Tierney,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Tipping II,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Hector,Tirado Jr.,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Richard,Van Hine,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Peter,Vega,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Lawrence,Veling,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Vigiano II,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Sergio,Villanueva,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Lawrence,Virgilio,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Robert,Wallace,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Jeffrey,Walz,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Warchola,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Patrick,"Waters, II",,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Kenneth,Watson,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Michael,Weinberg,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,Weiss,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Timothy,Welty,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Eugene,Whelan,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Edward,"White, III",,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Mark,Whitford,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Glenn,Wilkinson,,Lieutenant,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
John,Williamson,,Battalion Chief,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
David,Wooley,,Captain,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Raymond,York,,Firefighter,Career,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,Search and Rescue,Yes,Store/Office,
Glenn,Winuk,40,Firefighter,Volunteer,"Sep 11, 2001","Sep 11, 2001",Collapse,Trauma,On-Scene Fire,EMS/Patient Care,Yes,Store/Office,
Charles,"Drennan, Jr",50,Assistant Chief,Career,"Sep 13, 2001","Sep 13, 2001",Impact,Trauma,On-Duty,Other,No,Residential,
Willie,Barns,66,Fire Police Lieutenant,Volunteer,"Sep 16, 2001","Sep 16, 2001",Stress/Overexertion,Heart Attack,Response,Personal Vehicle Driver/Passenger,Yes,Street/Road,
